run,summary,status,iterations,error
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T194644698279Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.1 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T194847095224Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T195049412397Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T195251679906Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T195453055089Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T195656373090Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.7 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T195858837062Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 3.8 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T200101287659Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.1 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T200303681065Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 3.7 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T200506028591Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.7 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T200708470166Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.2 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T200910908920Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T201114341119Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.4 is below 90.0; camera B: table luma 3.6 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T201316606114Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.1 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T201519970804Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.7 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T201723292920Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.7 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T201926711077Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.7 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T202131174759Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.9 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T202333595491Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.1 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T202535921788Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.5 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T202737294178Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.1 is below 90.0; camera B: table luma 3.1 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T202940670778Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 2.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T203142060197Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 4.4 is below 90.0; camera B: table luma 3.0 is below 90.0
fold_night_20260829T173728412271Z,runs/fold_night_20260829T173728412271Z/results/fold_exploration/20260829T203345345681Z/summary.json,FAILED,0,RuntimeError: before perception failed after 2 capture attempt(s): PerceptionError: perception validation blocked Molmo/Claude/robot because table appearance is not trustworthy: camera A: table luma 5.1 is below 90.0; camera B: table luma 3.1 is below 90.0
